sample,time_s,vout_v,burden_current_a,estimated_primary_current_a,estimated_flux_wb,estimated_ct_secondary_voltage_v,estimated_magnetizing_current_a,chi_square,degrees_of_freedom,confidence,max_abs_normalized_residual,iterations,converged
24,0.004791,-0.11905454800000004,1.1905454800000004,-477.9455182826017,-0.007550420289012745,-1.118985075563481,-0.0031993306309403375,2.2454250219204645e-15,6,1.0,4.738591562762813e-08,3,1
25,0.005,-0.10832827600000006,1.0832827600000006,-435.03096447580685,-0.007760718425373865,-1.006211178761344,-0.003288440010755337,9.974264815574912e-16,6,1.0,3.158205921988729e-08,3,1
26,0.005208,-0.096931612,0.96931612,-389.42797917356916,-0.007945254883210304,-0.8871945088290352,-0.0033666334250939023,3.5063466234467476e-16,6,1.0,1.8725240821687605e-08,3,1
27,0.005416,-0.08503215399999997,0.8503215399999997,-341.80808144379006,-0.008104299656149798,-0.7646383314398737,-0.0034340252780355324,1.067462889150705e-16,6,1.0,1.0331807880008368e-08,3,1
28,0.005625,-0.07262990199999997,0.7262990199999997,-292.170823813165,-0.008237548231889425,-0.6375529939695105,-0.003490486538943324,2.5911898388409243e-17,6,1.0,5.0903667572603246e-09,3,1
29,0.005833,-0.05972485599999999,0.5972485599999999,-240.5152904657394,-0.008342525371499408,-0.5046977865864571,-0.0035349683777621786,3.845550802180203e-18,6,1.0,1.9610003318447713e-09,3,1
30,0.006041,-0.046484614000000035,0.46484614000000035,-187.51346699908666,-0.008419475613245,-0.3699530853153509,-0.0035675744124010122,3.205367281986981e-19,6,1.0,5.661596002128413e-10,3,1
31,0.00625,-0.032909175999999984,0.32909175999999984,-133.1649200214377,-0.008468044228605816,-0.23238571942973582,-0.0035881543341646617,8.075956082731866e-21,6,1.0,8.985083253050703e-11,3,1
32,0.006458,-0.019166140000000054,0.19166140000000054,-78.14048978070137,-0.008487478740802705,-0.09343515479274184,-0.003596389296960201,5.779847447148659e-23,6,1.0,7.2442052356791464e-12,3,1
33,0.006666,-0.005255506000000021,0.05255506000000021,-22.440237240654582,-0.008477757444400621,0.04673700193309794,-0.0035922701035693626,3.796410872000979e-24,6,1.0,1.942890293094024e-12,2,1
34,0.006875,0.008655128000000012,-0.08655128000000012,33.26429808801525,-0.008439024890482422,0.18532322448899086,-0.0035758580044510015,1.3211574534744156e-21,6,1.0,3.6341609788766854e-11,2,1
35,0.007083,0.022565761999999934,-0.22565761999999934,88.97402591728037,-0.008371490125174278,0.3246863716737712,-0.003547241578472188,1.1282845812987328e-19,6,1.0,3.358988095807612e-10,3,1
36,0.007291,0.036308797999999975,-0.36308797999999975,144.0168897219113,-0.008275629770668992,0.46086708896772205,-0.0035066227841892743,1.859133242810838e-18,6,1.0,1.3634991912121232e-09,3,1
37,0.0075,0.049716638000000035,-0.49716638000000035,197.72170070887105,-0.008151888822836493,0.5920619513516661,-0.0034541901791743587,1.4331985745411328e-17,6,1.0,3.7857546263830475e-09,3,1
38,0.007708,0.06295687999999999,-0.6295687999999999,250.76072234590612,-0.008001414214562139,0.7234356167036281,-0.003390429751938285,6.853358658135553e-17,6,1.0,8.27849906647729e-09,3,1
39,0.007916,0.07569432799999998,-0.7569432799999998,301.78991023756646,-0.007825185743466901,0.8472522648809504,-0.003315756670964603,2.4255263852298736e-16,6,1.0,1.557410091461344e-08,3,1
40,0.008125,0.08809657999999998,-0.8809657999999998,351.4816274060765,-0.007622816190014539,0.9682753753701512,-0.003230006860178689,7.334300306463206e-16,6,1.0,2.708191296544281e-08,3,1
41,0.008333,0.09982844000000002,-0.9982844000000002,398.4923526280777,-0.007397927311236917,1.0811965325847237,-0.003134714962390708,1.7058514183199024e-15,6,1.0,4.130195394777536e-08,3,1
42,0.008541,0.11105750599999997,-1.1105750599999997,443.49396903158237,-0.0071504653861995315,1.1897207934489702,-0.003029858214492829,3.666607961015052e-15,6,1.0,6.055252201142927e-08,3,1
43,0.00875,0.12161617999999996,-1.2161617999999996,485.8145327417327,-0.006880826866329155,1.2901364587099327,-0.002915604604377745,7.28539038497729e-15,6,1.0,8.535449807679112e-08,3,1
44,0.008958,0.131336864,-1.31336864,524.7825836837746,-0.00659344342328981,1.3816511684583868,-0.0027938319590217215,1.2130850907214964e-14,6,1.0,1.1014014190697391e-07,3,1
45,0.009166,0.14021955799999997,-1.4021955799999997,560.3980940179889,-0.006288844162962456,1.4644195208045887,-0.002664764475831915,1.9320933385851422e-14,6,1.0,1.3899976019250416e-07,3,1
46,0.009375,0.14826426199999998,-1.4826426199999998,592.6610559250356,-0.005967290794951322,1.5385328612972973,-0.002528513048708393,2.980038498927182e-14,6,1.0,1.7262787990241266e-07,3,1
47,0.009583,0.15547097600000004,-1.5547097600000004,621.5709821074593,-0.0056334984511726355,1.6047708835513779,-0.0023870756149037683,4.0179849148783106e-14,6,1.0,2.0044911848620062e-07,3,1
48,0.009791,0.16167210200000004,-1.6167210200000004,646.4559372904303,-0.005288296105744362,1.6596266607128551,-0.002240803434637496,5.257596560231791e-14,6,1.0,2.2929449526585792e-07,3,1
49,0.01,0.16686763999999998,-1.6686763999999998,667.3162806174754,-0.004932121726799378,1.7041836313157057,-0.00208988208762688,6.753031441289074e-14,6,1.0,2.5986595464193556e-07,3,1
50,0.010208,0.17105758999999998,-1.7105758999999998,684.1513188903049,-0.004570407525336519,1.739010583956052,-0.0019366133581934513,7.640500548364639e-14,6,1.0,2.764145536417132e-07,3,1
51,0.010416,0.17407435400000004,-1.7407435400000004,696.2891920700241,-0.00420414881879314,1.7608591660739408,-0.0017814189910140468,8.443081689663457e-14,6,1.0,2.9056981411704577e-07,3,1
52,0.010625,0.17608553000000005,-1.7608553000000005,704.4018317700787,-0.003833460735176361,1.7736271943386452,-0.0016243477691425276,9.295362290701658e-14,6,1.0,3.0488296590496595e-07,3,1
53,0.010833,0.177091118,-1.77091118,708.4879811627133,-0.00346393959911777,1.7765439233586129,-0.001467771016575327,9.063826742345084e-14,6,1.0,3.010618996484172e-07,3,1
54,0.011041,0.17692352,-1.7692352,707.8758827447004,-0.0030964910925317998,1.7665793585863965,-0.0013120724968355083,8.66501271088673e-14,6,1.0,2.943639364876823e-07,3,1
