sample,time_s,vout_v,burden_current_a,estimated_primary_current_a,estimated_flux_wb,estimated_ct_secondary_voltage_v,estimated_magnetizing_current_a,chi_square,degrees_of_freedom,confidence,max_abs_normalized_residual,iterations,converged
1,0.0,-0.099884345,0.99884345,-404.94937442490794,-1.3524255445556105e-05,-13.524255445556106,-5.730616714218618e-06,2.113801696011671e-23,6,1.0,3.552713678800501e-12,3,1
2,0.000208,-0.111084589,1.11084589,-445.119600409297,-0.00038577117676822693,-1.7896486602051485,-0.00016346236303738432,9.612718748060419e-14,6,1.0,3.100438476732536e-07,3,1
3,0.000416,-0.12155605,1.2155605,-486.8684041088992,-0.0006623782163606264,-1.3298415365019203,-0.00028066873574602815,8.935176752971988e-15,6,1.0,9.452606387845674e-08,3,1
4,0.000625,-0.131298728,1.31298728,-525.9106092644497,-0.000952019808253853,-1.3858449372881652,-0.0004033982238363784,1.2914712058386769e-14,6,1.0,1.1364291468597069e-07,3,1
5,0.000833,-0.140235909,1.40235909,-561.7429665881175,-0.0012568945658944471,-1.4657440271182416,-0.0005325824431756133,1.9461175078405125e-14,6,1.0,1.3950331565289133e-07,3,1
6,0.001041,-0.148290879,1.4829087899999998,-594.0465374284762,-0.0015770697322963648,-1.5393036846246038,-0.0006682498865662564,2.87937664043486e-14,6,1.0,1.6968726058152395e-07,3,1
7,0.00125,-0.15546363800000002,1.5546363800000003,-622.8204011178374,-0.001912367892341205,-1.6042974164824892,-0.0008103253781106801,4.1653036139425094e-14,6,1.0,2.040907546635166e-07,3,1
8,0.001458,-0.161639115,1.61639115,-647.6027229416463,-0.0022574618800286377,-1.6591057100357345,-0.0009565516440799314,5.244407846994357e-14,6,1.0,2.290067214493049e-07,3,1
9,0.001666,-0.16685566699999999,1.6685566699999999,-668.5471176863106,-0.002611968337970417,-1.7043579708739398,-0.0011067662449027193,6.504149704792533e-14,6,1.0,2.550323451011097e-07,3,1
10,0.001875,-0.17103658,1.7103658,-685.3460648120191,-0.002975340835076276,-1.73862438806631,-0.001260737641981473,7.925264356124655e-14,6,1.0,2.815184604233939e-07,3,1
11,0.002083,-0.174143497,1.74143497,-697.8452607723216,-0.0033418653882294046,-1.7621372747746544,-0.0014160446560294092,8.492232791117546e-14,6,1.0,2.9141435775781726e-07,3,1
12,0.002291,-0.176176418,1.7617641800000001,-706.0445722232631,-0.0037110205102063253,-1.774784240273658,-0.0015724663178840372,8.992252910514761e-14,6,1.0,2.998708540409547e-07,3,1
